,en_text,fa_text,T5_translation
262,and everything you've done for me.,و همه کارهایی که برای من کردی,و همه کارهایی که برای من کردیم
263,oh! we use our slap shot!,با اسلپ شات,با صفحه ی اسلپ
264,we were a couple of foster system rejects.,چندتا طرد شده از سیستم فرزندخواندگی بودیم,چند تا از سیستم خواندن طفل رفته بودیم
265,me can't do it today.,من نمی‌توانم,من نمی توانم
266,how you doing? - you're the owner?,حال‌تون چطوره؟ - مالک شمایید؟ -,حالت تونگ چطوره؟ - مالک شمایید؟ -
267,someone bumped him.,یکی زدش,یکی شروع کرد
268,huh?,هان؟,هان؟
269,don't let it get me! please!,! نذار من رو ببره! خواهش می‌کنم,نذار من برم، لطفا
270,"and he was going crazy, i didn't.",و داشت قات می‌زد,و اگر حرفم را بزنم، زودتر شروع می کنم
271,their destiny is not ours to change.,ما مسیول تغییر سرنوشت اونا نیستیم,ما مسیول باید وضعیت را تغییر بدهیم، ایا نه؟
272,i can't breathe!,نمی‌تونم نفس بکشم,نمیتونم یه کم اذیت کنم
273,my mistake.,اشتباه من بود,من یه جور دردی خوردم
274,sully. - yeah?,سالی - بله؟ -,سالی بله؟
275,"well, the government calls it 6:30.",خب، دولت گفته ساعت ۶:۳۰,خوب، دولت ساعت ۶ و ۳۰ گفت
276,"oh, that michigan girl",اوه، اون دختر میشیگانیه,اوه، اون دختر میشیاییه
277,don't worry about it.,خودتو ناراحت نکن,خودت را راحت نکن
278,"no, no, no, you don't understand.",نه، نه، نه تو متوجه نیستی,نه، نه، نه، تو به انچه که می گویی توجه می کنی
279,sapulpa.,سپالپا,سپاس پا
280,there's a shelter down there! come on!,! یه پناهگاه اون پایین هست! زودباشید,یه جایگاه امنه اون پایینه، زود باش
281,"what are you doing out here, man?",اینجا چی کار می‌کنی پسر؟,اینجا چیکار می کنی پسر؟
282,"tyler, tornado's on the move. - okay.",تایلر، گردباد داره حرکت می‌کنه - خیلی‌خب -,تایلر، گردباد داره تند میره خوبه
283,appearing in a form your feeble human brain can comprehend.,که جوری ظاهر میشه که ذهن ضعیف شما انسان رو بتونه درکش کنه,اگر ذهن ضعیف تو مثل انسان باشد، باید جلو خود را بگیرد
284,"hey, mrs. carter.",سلام خانم کارتر,سلام خانم کارتر
285,let's get out of here.,بیا بریم,بیا بریم
286,"yeah, well, you've seen the worst of this place.",اره، خب، بدترین روزهای اینجا رو دیدی,اره، خب، بدترین روزهای اینجا را دیدم
287,"so when i found you,",پس وقتی پیدات کردم,پس وقتی پیداش کردم
288,"look, i'll meet you at the half note.",ببین، من توی هف نوت میبینمت,ببین، من توی صفحه ی الف هستم، می بینم
289,none of this will actually happen.,هیچ‌کدوم از این اتفاقات نمی‌افتن,هیچ کدوم از این اتفاقات اصلا رخ نمیده
290,enhance 224... 176.,‫تغییر رزولوشن به ۲۲۴ و ۱۷۶,رلی تیسون به ۲۲۴ و ۱۷۶
291,because they've never left ridgefield?,چون اونا هیچوقت از «ریجفیلد» بیرون نرفتن؟,چون اونا هیچ وقت از «سگ باف» خارج نشده اند؟
292,i can't be truthful with you.,نمی‌توانم باهات صادق باشم,نمیتونم باهات عادل باشم
293,"please? yeah. lumpy's brother was supposed to,",لطفا؟ …اره، برادر «لامپی» قرار بود بگیره,لطفا؟ ...اره، برادر «لامپا» قرار بود بگیرد
294,"ooh, yeah! right? 'cause she's... maybe?",اوه، اره! درست نمی‌گم؟ …چون شاید اون,اره، اره، اصلا گمان نمی کنم؟ ... چون شاید اون
295,just don't get caught.,فقط گیر نیست,فقط چرخش نیست
296,do you have anything to say about that?,حرفی واسه گفتن نداری؟,حرف هایی برای گفتن نداری؟
297,you ever wonder...,…تا حالا برایت سوال شده,تا الان برایت سوال می کرد
298,yes.,اره,اره
299,"oh, yeah. cool.",باشه، ایول,خوبه ایول
300,mm-hmm. yep. y'all missed a big one. look.,اوهوم، اره یه بزرگش رو از دست دادید. ببین,اره، اره، یه جور بزرگ رو از دست دادی، ببین
301,it was never gonna work.,امکان نداشت جواب بده,قابلیت فهم جواب دادن است
302,what's going on?,قضیه چیه؟,قضیه چیه؟
303,the model projects it's heading into maryland.,پروژه‌های نمونه دارن می‌رن سمت مریلند,پروژه های نمونه ازمایی ازمایی رم رم مریلند
304,no? then it's the same as the other ones.,نه؟ پس با بقیه فرقی نداره,نه؟ پس با همه چیز فرق نمی کند
305,does this gig have a pension? health insurance?,این اجرا حقوق بازنشستگی داره؟ بیمه درمانی؟,این اجرای حقوق بازگشت به دوش داده؟ - امان درمانی؟ -
306,"but the school would like to help jason process, and--","ولی مدرسه دوست داره که …به روند «جیسون» کمک کنه,و",اما مدرسه دوست دارد که ...با روند «جیسون» کمک کند
307,over!,تمام,همه چیز
308,oh.,اوه,اه
309,i'm sorry for all of us.,بابت همه اینا متاسفم,در مورد همه اینا متاسفم
310,know her name. -ew.,اسمش رو بلدن,اسمش ر تینن
311,riley paints her nails to match her jersey.,رایلی لاک ناخنش رو با لباسش ست می‌کنه,رایلی لاتی لباسش را پوشیده، خوب می شه
312,"""not ready yet""?",«هنوز اماده نیست؟»,«هنوز لازم نیست؟»
313,hi.,سلام,خوب
314,ah! -we gotta say something.,اه - باید یه چیزی بگیم -,اه باید یک چیزی بگویم
315,i mean no. i...,…یعنی نه، من,نه، من
316,it's time.,وقتشه,وقتشه
317,"and bringing up the rear,",…و در اخر,...و در اخر
318,"just one moment, please.",یک‌لحظه لطفا,یک لحظه لطفا
319,behind the tornado and plant his radar,…می‌ره پشت گردباد و رادارش رو,ما پشت گردباد و رادرش ایستاده ایم
320,i told you we didn't need her.,بهت گفتم بهش نیازی نداریم,به ان می گوید که بهش نیازی نیست
321,riley is still exceptional.,رایلی هنوز هم استثناییه,رایلی هنوز هم بی اهمیت است
322,"yes, you can.",اره، می‌شه,اره، می شه
323,"come on, kate. you got this.",زودباش کیت از پسش برمیای,زودباش کیی از پسش برمینیپه
324,imbecile.,کودن,کودن
325,to load the updraft.,تا جریان عمودی رو از بین ببره,تا هنگامی که باران عمودی از بین می رود
326,"we had an agreement, right?",توافقی داشتیم. باشه؟,قبوله؟
327,all right. then let's do it.,. خیلی خب. پس بیا انجامش بدهیم,خیلی خب، پس بیا انجامش بده
328,and the answer is yes.,جوابش اره‌ست,جوابش اره است
329,it's a health and fitness trade show...,یه نشان بهداشت و امادگی جسمانیه,این نشانه ی ناتوانی جسمانی و ناتوانی
330,"please, please.",خواهش می‌کنم,لطفا
331,"i mean, what, are you thinking of a career change, or, uh--",منظورم اینه که تو داری به یه تغییر شغل فکر می‌کنی یا …ا,هدف اینه که تو یه شغل تغییر شکل می دهی یا ...ا ...
332,we gotta hail a cab. hold your hand out.,ما باید تاکسی بگیریم دستت رو دراز کن,باید یه نفر یه نفر رو ببره یه نفر یه نفر دیگه
333,we can't stay here. - there!,نمی‌تونیم اینجا بمونیم -! اونجا -,نباید اینجا باشیم، نباید گمشیم، گمشیم
334,you did great. we love you.,کارت عالی بود عاشقتم,کارت عالی بود، عاشق من
335,"hey, dorothea.",هی دورسیا,هی دوروسیا
336,"i can do it. - stay low! no, no, no, no, no!",از پسش برمیای -! پایین بودن! نه، نه، نه، نه، نه -,از پسش برمینیایا - ! - ! خوب بودن خوبی نبود، نه، نه، نه، نه
337,hold on!,طاقت بیار,طاق ناهارخوری
338,"you have to score, riley!",باید گلزنی کنی رایلی,باید گل زنی کنی رایلی
339,"some of it's not as boring as it is at the you seminar,",بعضی هاش به اندازه سمینار شما کسل‌کننده نیست,بعضی ها به اندازه ی سماویور شما قابل اعتماد نیست
340,this one's different!,! این یکی فرق میکنه,! این یکی فرق می کنه
341,"look, if, if, if there is a fine",ببین. اگه جریمه‌ای,ببین، اگر جریمه ای بکنم
342,"wait, what? are you serious?",شوخیت گرفته؟,زشتی گرفته؟
343,"well, me and him get arrested one more time,",خوب من و اون یه بار دستگیر شدیم,خوب من و اون یک بار تحت فشار قرار گرفتیم
344,yeah.,اره,اره
345,i'm not good enough.,من ناکافی‌ام,من زحمت کشیده ام
346,new lifeguard. yep.,. نجات‌غریق جدی اره,نجات گراتسیا جدیت اره
347,"the girl i know, she'd be going into the storms",اون دختری که من می‌شناسم …در حالی که بقیه فرار می‌کنن,اون دختره که من شناخته ام ...در حالی که همه فرار می کنند
348,fucker!,لامصب,ناظر
349,"no, i don't remember.",نه. نیست,نه، نمیشه
350,she wasn't there when it happened. she was probably at the pool.,". وقتی اتفاق افتاد,اون اونجا نبود. احتمالا تو استخر بوده",وقتی اتفاق افتاد، اونجا نبود، حتما تو استخر بودم
351,to become a fire hawk.,که منجر به عضویتش در تیم شد,که به عضویت در تیم پرداخت
352,"let's go, baby.",بریم عزیزم,بریم عزیزم
353,i need to get the fuck out of this town.,باید ازین شهر لعنتی. برم بیرون,باید از شهر داگونتی بریم بیرون
354,or walking. i'm really good at walking.,یا راه رفتن کارم توی راه رفتن خوبه,یا راه پیمایی کارم توی راه پیمایی راه پیمایی خوبه
355,how may i direct your call?,با کی کار دارین؟,با کی کار داری؟
356,maybe you could just stay in one place.,شاید بهتر باشه یه جا بند بشی,شاید بهتر باشه یک جا نگهدار بشه
357,what? who sent that projection to riley?,چی؟ کی این تصویر رو واسه رایلی ارسال کرد؟,چی؟ کی این عکس را به رایلی فرستاده؟
358,where's the other detective?,کاراگاه دیگه کجاست؟,کارآگاه دیگه کجاست؟
359,you got to quit eating chocolate in the damn truck.,دیگه نباید توی ماشین، شکلات بخوری,دیگ نباید توی ماشين باشه، شکلات برنج
360,"because he wouldn't listen,",…چون گوش نمیده,چون گوش کن
361,never mind.,بی‌خیال,بی خیال
362,i'm sorry.,ببخشید,ببخشید
363,i'll come.,. منم میام,مین میام
364,in this town of all places?,برگرده این شهر؟,شهر را رها کردید؟
365,"my team sets up two more, here and here.",تیمم دوتا رادار دیگه اینجا و اینجا کار می‌ذاره,تیمم دوتا رلان دیگه همین جا و همین جا کار می کنم
366,it's so embarrassing.,. این خیلی خجالت اوره,این خیلی خیلی خجالت اوره
367,you'd never be able to get it close enough.,امکان نداره بتوانی به اندازه کافی به گردباد نزدیکش کنی,اصلا ممکن نیست که بتونیم کمی به گردباد نزدیک بشویم
368,"""how to recall non-memory objects""",فصل ۷ و مفهوم «چگونگی تداعی,فصل ۷ و مفهوم «گونگی تداعی»
369,"hey, ben, i'm gonna need you to hand me",…هی بن، چندتا از اون مانورهای,یه بن، چند تا از اون مسافرخانه ها
370,"how you been, mr g?",حالتون چطوره اقای جی؟,حالتتون چطوره، اقای جی؟
371,ah! this is amazing!,اه! این فوق العاده‌ست,اه، این فوق العاده است
372,what are you doing?,چی کار می‌کنی؟,چکار می کنی؟
373,"so, uh, how do they get to earth, then?",…خب چجوری به زمین میرن؟,خوب، حالا چه جور یه جور یه جور یه جور یه زمین؟
374,now get in.,حالا برو داخل,حالا برو داخل
375,you're not gonna hurt him?,تو که باش اسیب نمی‌زنی؟,تو یه جور خوبی یه جور خوبی؟
376,"you got a little newborn, right?",یه بچه کوچیک داری؟,یک بچه کوچیک؟
377,i'm cured. i'm cured.,من خوب شدم من خوب شدم,من خوب شدم من خوب شدم
378,he's that jovan guy.,اون یارو جوان باشه,اون یارو جوانه
379,"be quiet. - dude, i fucked this up so bad.",ساکت باش - بدجور گند زدم پسر -,خفه شو - من یه جور گند زدم پسر -
380,it's okay.,چیزی نیست,چیزی نیست
381,"two, three, four.",دو، سه، چهار,دو، سه، چهار
382,"what's that mean? -""forgot.""",یعنی چی؟ - «یعنی» یادمون رفت -,یعنی چی؟ - «یعنی» یادمون رفت
383,she's currently in tokyo with her sister.,الان توکیوست با خواهرش,حالا توکیو با هرش هستم
384,"i mean, i did good.",یعنی کارم خوب بود,کارم، خوب بود
385,i can't fucking believe this.,باورم نمیشه,قابل تصور نیست
386,clean this shit up.,تمیزش کنین,خوب، خوب،
387,she'll be fine. she's okay.,چیزیش نمیشه حالش خوبه,چیزی نیست، حالش خوبه
388,but heavy enough to anchor barrels in 100-mile-an-hour winds.,اما به‌اندازه کافی هم سنگین هست که بتونه بشکه‌ها رو توی باد با سرعت ۱۶۰ کیلومتر در ساعت، نگه داره,اما به اندازه کافی سنگین است که باید ظرف های ظرف شویی با سرعتی ۳۰ متری در ساعت وارد باد شوند
389,can we not? - maybe just a little.,می‌شه بس کنی؟ - یه کوچولوش رو تعریف می‌کنم -,- خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب، خوب،
390,sorry i stole your car.,ببخشید ماشینت رو دزدیدم,ببخشید که ماشین ها دزدیده می شن
391,she was very happy.,اون خیلی خوشحال بود,اون خیلی خوشحال بود
392,"well, she just knows everything, doesn't she?",همه‌چیز دانه، مگه نه؟,همه چیز، دانه، مگر نه؟
393,i'm an irritable wallflower who's dangerously curious.,من یه شب بوی زد بد خلقم که حسابی کنجکاوه,من یک شب بوی یه جور خلق وخیم رو انداختم که اصلا معلومه کنجکاوی
394,i thought you were gonna say the time we peed in the pool.,فکر می‌کردم می‌خوای خاطره شاشیدن‌مون توی استخر رو تعریف کنی,من فکر می کردم می خواهم خاطره شایدن مون تو گلخونه برایت تعریف کنم
395,you gonna transfer the money so she can live?,پول رو انتقال میدی تا زنده بمونه؟,پول منتقل میدی می شه تا زنده بمیره؟
396,we need a 40-foot trailer that's light enough for a pickup,یه تریلر ۱۲ متری نیاز داریم به‌اندازه کافی برای پیکاپ سبک هست,یک تریلر ۱۲ متری برای پیکاپ سبک لازمه
397,"better be careful, man. you pass out like that in vermont, you froze in the snow.",بهتر مراقب باشی پسرتو جوری از حال رفته بودی که انگار توی ورمانت توی برف یخ‌زدگی,پسرتی، بهتر است بهتر از همه تحت تأثیر وضعیت خود قرار گیرد، چون فکر می کردم در اتاق اویرمانت، در اتاق یخ زدن یخ زده
398,i think you need to step in and counsel her.,میخوام مداخله کنی و باهاش صحبت کنی,می خوام وارد بشم و با اونا حرف بزنم
399,no. are you sure?,نه- مطمینی؟ -,نه - ولی مینی؟ -
400,"and a best friend's wedding before you're invited,",و ازدواج دوست صمیمی به دعوت تو مونده,و ازدواج دوست صمیمی به دعوت تو مونده
401,miss kamen?,خانم کمن؟,خانم کونز؟
402,i freaked out.,از خود بی‌خود شدم,از خود بیخود شدم
403,"and when i finally caught up with her,",…و وقتی بهش رسیدم,و وقتی بهش رسیدم
404,whoa!,اوه,اه
405,"no, i mean, you know,",نه. یعنی,نه، منظورم اینه
406,now it's your turn.,الان نوبت تو یه,حالا حرفمو بزن
407,the count hasn't been off in centuries.,قرن هاست که شمارش مشکلی نداشته,قرن ها همیشه تعداد افراد محدود شده است
408,am i saying it right?,درست گفتم؟,خوب، فهمیدم؟
409,6:30? you serious?,۶:۳۰ جدا؟,۶:۳۰ جدا؟
410,what is your position on pizza?,نظرت درمورد پیتزا چیه؟,نظریه در مورد پرتاب چیه؟
411,"let's just, you know, do whatever.",، …بیا فقط..، میدونی هر کار میخوای بکن,فقط، فقط، فهمیدم هر کاری که می خوای بکن
412,"like me? as in, alive?",مثل من؟ یعنی، زنده؟,مثل من؟ یعنی زنده؟
413,log into your account,وارد حسابت شو,به حسابرسی وارد شو
414,hold it right there!,تکون نخورید,ضربه ی تند
415,"oh, no. what did i do?",وای نه، این چه کاری بود کردم؟,نه، این چه کاری بود؟
416,i remember really well.,. من خیلی خوب یادم میاد,من خیلی خوبم یادم میاد
417,"you know, i'm comfortable up here.",میدونی، من اینجا راحتم,فهمیدم، من اینجا راحتم
418,"um, i-if somebody had an animal...",…اگه کسی یه حیوونی داشت,یه نفر ...یه ادم یه ادم یه
419,"um, just, absolutely, um.",حتما,حتما
420,come on!,بالا,بالا
421,tell robert he's out. for now.,به رابرت فعلا بگو بره,به رابرت، حالا به چشم برادر نگاه کن
422,"you're in the cat? - wait, wait, that's my body.",تو توی گربه‌ای؟ - صبرکن، صبرکن، این بدن منه -,تو توی گربه ای؟ - فرورگ، فرورگ، این بدن من بوده -
423,ugh! you're always on me!,اه! دایم رو مخمی,اه، دایم رو مخفی
424,i'll gather all the necessary provisions...,…من همه وسایل مورد نیاز رو جمع می‌کنم,من همه وسایل لازم را جمع می کنم
425,and i've never seen anything that's made me want to live.,و تاحالا هیچ چیزی ندیدم که بتونه منو راضی به زندگی کردن بکنه,و تاکنون هیچ چیز نمی خواستم که منو از زندگی کردن به زشت پوست ننگ راحت کنم
426,"every messy, beautiful piece of her.",تمام ویژگی‌های ناخوشایند و قشنگش رو,تمام یژگی های ناخوشایند و زشت
427,it's child abuse is what it is.,بهش میگن کودک ازاری,بهش می گوید که بچه ی اهل اری
428,the fire hawks have accepted us.,بچه‌های تیم، ما رو پذیرفتن,بچه های تیم، ما باید قبول کنیم
429,it's recommended for someone in your state.,برای یکی با وضعیت شما پیشنهاد میشه,برای یکی از افراد با وضعیت شما پیشنهاد می کنید
430,i did it. i got the gig. yes!,توانستم، انتخاب شدم! اره,تونستیم، انتخاب کنم، ضعیف شدم
431,land! yes! -yes!,خشکی - ایول -,زوزه ی اتول
432,"come on, now. - nope, nope, nope.",زودباش - نه، نه، نه -,زودباش، نه، نه، نه
433,"one night he showed up on my doorstep,",یک شب اومد دم در خونه‌ام,یک شب دمه در خونه ام گذشت
434,"no, no, no, man. she don't play that.",نه، نه، نه، مرد نمیخواد باهاش اجرا کنی,نه، نه، نه، نه، مرد نمی خواهد با اونها اجرا کند
435,"oh, pouchy!",اوه، اقا کیفه,اه، اقای کیمبل
436,i've got the photos of the damage done to your car.,تصاویر خسارت وارد شده به ماشینتون درام,عکس های تصادف به ماشین تونل درام
437,"run your experiment, see if it works.",ازمایشت رو اجرا کن ببین جواب می‌ده یا نه,از مایشتر اجرا کن ببین جواب من جواب من میشه یا نه
438,it's the space between the physical and spiritual.,این فضای بین جسمانی و روحانیه,این فضا بین جسمی و روحانی
439,go home!,! برید خونه هاتون,! برید خونه هایت
440,does this mean i'm dead?,این یعنی من مردم؟,این اسم من مردم است؟
441,i bet you're the best,شرط می‌بندم که شما,شرط می بندم که تو
442,i respect you so much.,من خیلی برات احترام قایلم,من خیلی راحتم
443,disrupting tornado dynamics.,مختل‌کردن دینامیک گردباد,دوره ی دوره ی دیم یوم را مختل می کرد
444,but someone might need help.,اما شاید یه نفر به کمک نیاز داشته باشه,اما شاید یک نفر به کمک نیاز داشته باشه
445,sarah adopted this kid.,سارا این بچه رو به فرزندخواندگی گرفته,سارا، این بچه رو به خواندن خواندن بچه گرفته
446,"come on. come on, come on!",یالا. یالا,یالا، یالا
447,thought college might be better for my brain.,با خودم گفتم کالج رفتن فایده بیش‌تری برای مغزم داره,با خودم گفتم که رفتن کالج برای مغزم بیش از همه زحمت دارد
448,"anyway, i never got my spark.",به هر حال من هیچ وقت جرقه‌ام رو پیدا نکردم,به هر حال من هیچ وقت جرقه ام رو پیدا نکردم
449,"and that means we hit the ice early,",و این یعنی باید زودتر به پیست هاکی برویم,و این باید زودتر به پیست هاکی برسیم
450,hungry?,گرسنه نیستی؟,زشت نیست؟
451,everybody act regular. it's valentina ortiz.,. همگی عادی رفتار کنید والنتینا اورتیزه,همگی رفتار عادی با شما داریم، والنتینا اوریسیته
452,"look, i know you love playing.",ببین، میدون تو عاشق نواختنی,ببین، میدون تو عاشق نو پینزونی
453,"i mean, not that it matters at this point,",نه که الان مهم باشه,نه، حالا که مهمه
454,i'm sarah. - rebecca.,من سارام - ربکا -,من سارام - ربکا -
455,riley!,رایلی,رایلی
456,i'm not good enough at all.,من اصلا خوب نیستم,من هیچ وقت خوب نیستم
457,i only do what she makes me do.,فقط کاری می‌کنم که مجبورم کنه,فقط کاری می کنم که بتوانم انجامش بدهم
458,"it's your time to go, joe gardner.",وقت رفته جو گاردنر,وقتی جو گاردنر رفته بود
459,"joy, i'm doing this for you!",شادی، دارم این کار رو به‌خاطر تو می‌کنم,خوشبختی، من این کار را به خاطر تو انجام می دهم
460,"no, no, no. we've got to drop the barrels in its path.",نه، نه، نه. باید بشکه‌ها رو توی مسیر گردباد بندازیم,نه، نه، نه، نه، باید ظرف شویم توی راهرو گردباد بروند
461,and orange?,چرا داخلش نارنجی شده؟,چرا داخلش انقدر نارنجی شده؟
462,but what... what filled in the last box?,…اما چی چی جای اخر رو پر کرد؟,ولی چطور چطور اخرین بار باید تمام بشه؟
463,"thanks, coach roberts.",ممنون، مربی رابرتس,متشکرم، مربی رابرتز
464,could you help us get out of here?,می‌شه کمک‌مون کنی از اینجا خارج بشیم؟,میشه کمک مون کنی از اینجا خارج بشی؟
465,"all right, let's not get distracted.",خیلی‌خب، حواس‌تون پرت نشه,خیلی خب، چشم هایت شلوغ شده
466,"kate. here, take some food.",کیت بیا، با خودت غذا ببر,کیی، بیا، با غذای خودت ببر
467,i've been waiting my whole life for this very moment.,کل زندگیم رو منتظر این لحظه بودم,زندگی من این لحظه منتظرم بود
468,likely scenarios.,سناریوهای احتمالی هستند,وضعیت مالی لازم هم هست
469,he fucking shot me!,بهم شلیک کرد,به من تقلید کرد
470,"the one, the only...",…معرفی می‌کنم,... معرفی می کنم
471,tomorrow is everything.,فردا روز خیلی مهمیه,فردا روز خیلی مهمه
472,when your expectations are so high.,وقتی‌که انتظارات بالا باشه,وقتی که انتظارات بالا بره
473,"yes, ma'am.",اره,اره
474,no.,نه,نه
475,mm-hmm.,اوهوم,اوه
476,no. no. no.,نه، نه، نه,نه، نه، نه
477,okay. - thank you.,خیلی‌خب - ممنون -,خیلی خب - متشکرم -
478,love you. - love you.,دوستت دارم - منم دوستت دارم -,دوست دارم - من دوست دارم -
479,"no. i've gotta find it here, on earth.",نه من باید اینجا پیداش کنم روی زمین,نه، من باید اینجا پیداش کنم روی زمین
480,"how you doin'? hi, rick. how are ya?",چیکارا می‌کنی؟ «سلام» ریک چطوری؟,چه جور کسی میاد؟ «بسیار خوب، تریس، چه جور اتفاقی افتاده؟
481,uh-oh!,اوه اوه,اه، اه
482,"anxiety has got you all chained to desks,",اضطراب، شما رو به این میزها غل و زنجیر کرده,اضطراب، تو به این میزها می روی، چرخش می کنی
483,"once you get a lawyer,",وقتی وکیل بگیری,وقتی کیل بگی
484,"oh, yeah. or that.",اره، این هم می‌شه,اره، همینطوره
485,let's hold off on any alerts.,بیاید فعلا هیچ هشداری صادر نکنیم,حالا بیا، هیچ هشداری صادر نشده
486,smash as many as you can! -joy!,تا جایی که می‌تونید بشکونیدشون - شادی -,تا جایی که میتونیم مثل یه نفر مثل یه نفر مثل یه نفر مثل یه نفر توی دنیا بخوابیم
487,"okay, we should, um...",…خیلی‌خب، باید,خیلی خب، باید
488,she going the wrong way?,داره اشتباه می‌ره؟,آیا دارم یه جور اتفاقی می افتم؟
489,we're very happy.,ما خیلی خوشحالیم,ما خیلی خوشحالیم
490,it'll happen.,میوفته,مثل موش
491,it's a ridiculous story.,داستان مسخره‌ایه,داستان مارکو
492,"so this is an ef1, perfect conditions.",پس این یه گردباد فوجیتای یک‌ه با شرایط ایده‌ال,پس این یه آذرخش یه تیویه ی یک ان با شرایط منطقه ی اتاق
493,she's not-- she's not staying at little jason's.,…اون. اون با «جیسون کوچولو» واینمیسته,او، اون با «جیسون کوچولو» و ان حرفش را قطع کرد
494,"i hope i see you, man. all right. peace.",امیدوارم ببینمت مرد خیلی خب، به امید دیدار,امیدوارم که جلو چشمم را ببینم، خیلی خب، به امید دیدار
495,"andersen, penalty box, two minutes.",اندرسن، به مدت دو دقیقه محرومی,اندرنسون، در عرض دو دقيقه ی گذشته
496,he's just a little baby.,اون فقط یه بچه ست,اون فقط یک بچه است
497,"oh, wow. - see?",اوه وای - می‌بینی؟ -,اه، وای، موبینی؟
498,"hockey scholarship, here we come!",بورسیه‌ی خاکی، اماده باشد که اومدیم,گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه گروه
499,"wait, hold on.",صبر کن، وایسا,صبر کن، ویسا
500,i really do.,واقعا می‌گم,راستش، من گمش کردم
501,wow.,وای,بله
502,"curley! uh... no, no.",کورلی اوه، نه، نه,کورلی، نه، نه
503,that i might be working on my life?,من شاید روی زندگی خودم کار می‌کنم؟,من می تونم توی زندگی خودم کار کنم؟
504,since you killed sully.,علیهت بشه,علیه حضرت
505,"which one's it gonna be, kate? - okay, i'm on it.",سراغ کدوم بریم کیت؟ - خیلی‌خب، الان می‌گم -,- به سمت کدوم بریم کیت؟ - خیلی خب، حالا میگم
506,"oh, yeah? what happened?",اوه، جدا؟ چی شد؟,اوه، جدا؟ چه اتفاقی افتاد؟
507,"you know her, you love her,",ایشون رو می‌شناسید و دوستش دارید,اونا رو شناخته می کنم و دوستش دارم
508,"dad, stop.",بابا بس کن,بابا بلاک کن
509,is 200 miles per hour.,‏ ۳۲۲ کیلومتر بر ساعت‌ه,۳۲۲ کیلومتر در ساعت ا
510,wanna come this time? -yes.,می‌خوای این دفعه بیای؟ - اره -,ایا این بار می خوای بیای؟ اره
511,"i mean, you say that,",تو اینجوری فکر می‌کنی,تو اینجوری فکر می کنی
512,you were right back there.,حق با تو بود,حق با تو بود
513,do you see a key?,کلیدی می‌بینید؟,کلیدی می بینید؟
514,"the suit is wool, not polyester.",این لباس پشمیه نه پلی‌استر,این لباس لباس پلو استر نه
