,en_text,fa_text,T5_translation
266,how you doing? - you're the owner?,حال‌تون چطوره؟ - مالک شمایید؟ -,- وضعیت تاکته؟ - ملک شمایید؟
267,someone bumped him.,یکی زدش,یکی از آن ها شروع به ریختن صدای ضربان
268,huh?,هان؟,هان؟
269,don't let it get me! please!,! نذار من رو ببره! خواهش می‌کنم,! نگذار من بروم! لطفا لطفا
270,"and he was going crazy, i didn't.",و داشت قات می‌زد,و اگر برای غذا خوردن استفاده می کردم
271,their destiny is not ours to change.,ما مسیول تغییر سرنوشت اونا نیستیم,ما مسیول باید وضعیت را تغییر دهیم، یعنی
272,i can't breathe!,نمی‌تونم نفس بکشم,نمی توانم زحمت بکشم
273,my mistake.,اشتباه من بود,من اشتباه کردم
274,sully. - yeah?,سالی - بله؟ -,سالی - بله؟ -
275,"well, the government calls it 6:30.",خب، دولت گفته ساعت ۶:۳۰,خوب، دولت ساعت ۶:۳۰ می گوید
276,"oh, that michigan girl",اوه، اون دختر میشیگانیه,اوه، اون دختر میشیاییه
277,don't worry about it.,خودتو ناراحت نکن,خودت را راحت نکن
278,"no, no, no, you don't understand.",نه، نه، نه تو متوجه نیستی,نه، نه، نه، نه، من به مشکلات توجه دارم
279,sapulpa.,سپالپا,سپاس پا
280,there's a shelter down there! come on!,! یه پناهگاه اون پایین هست! زودباشید,! یک مکان امنیتی در آن پایین است! زود باش
281,"what are you doing out here, man?",اینجا چی کار می‌کنی پسر؟,اینجا چگونه کار می کنی پسر؟
282,"tyler, tornado's on the move. - okay.",تایلر، گردباد داره حرکت می‌کنه - خیلی‌خب -,تایلر، گردباد صدا می کند- خیلی خوب -
283,appearing in a form your feeble human brain can comprehend.,که جوری ظاهر میشه که ذهن ضعیف شما انسان رو بتونه درکش کنه,چنان ظاهر می شود که ذهن ضعیف شما انسان را می تواند
284,"hey, mrs. carter.",سلام خانم کارتر,سلام خانم کارتر
285,let's get out of here.,بیا بریم,بریم
286,"yeah, well, you've seen the worst of this place.",اره، خب، بدترین روزهای اینجا رو دیدی,اره، خوب، روزهای بدتری که اینجا می بینید
287,"so when i found you,",پس وقتی پیدات کردم,پس وقتی پیدا شدم
288,"look, i'll meet you at the half note.",ببین، من توی هف نوت میبینمت,ببین، من توی صفحه ی اچ صفحه ی تلویزیونی
289,none of this will actually happen.,هیچ‌کدوم از این اتفاقات نمی‌افتن,هیچ کدام از این اتفاقات ادامه ندارد.
290,enhance 224... 176.,‫تغییر رزولوشن به ۲۲۴ و ۱۷۶,۲۳ و ۱۷۶۲ نفری از لیست لیست عکس ها را 
291,because they've never left ridgefield?,چون اونا هیچوقت از «ریجفیلد» بیرون نرفتن؟,چون اونا هیچ وقت از «ساچفیلد» خارج نشده
292,i can't be truthful with you.,نمی‌توانم باهات صادق باشم,نمی توانم با شما صادق باشم
293,"please? yeah. lumpy's brother was supposed to,",لطفا؟ …اره، برادر «لامپی» قرار بود بگیره,- لطفا؟ - اره، - خواستار «الانکو
294,"ooh, yeah! right? 'cause she's... maybe?",اوه، اره! درست نمی‌گم؟ …چون شاید اون,اوه، اره! اصلا نمی گویم؟ ... چون شاید او
295,just don't get caught.,فقط گیر نیست,فقط چرخش نیست
296,do you have anything to say about that?,حرفی واسه گفتن نداری؟,حرف هایی برای گفتن ندارم؟
297,you ever wonder...,…تا حالا برایت سوال شده,تا حالا برایت سوال شده است
298,yes.,اره,اره
299,"oh, yeah. cool.",باشه، ایول,خوب، ایول
300,mm-hmm. yep. y'all missed a big one. look.,اوهوم، اره یه بزرگش رو از دست دادید. ببین,اوه، اره، یه گروه بزرگ را از دست دادید. ببین
301,it was never gonna work.,امکان نداشت جواب بده,قابل فهم پاسخ دادن است.
302,what's going on?,قضیه چیه؟,قضیه چیست؟
303,the model projects it's heading into maryland.,پروژه‌های نمونه دارن می‌رن سمت مریلند,پروژه های نمونه ای از آن به سمت مریلند می روند
304,no? then it's the same as the other ones.,نه؟ پس با بقیه فرقی نداره,نه؟ پس با همه چیز قابل مقایسه نیست.
305,does this gig have a pension? health insurance?,این اجرا حقوق بازنشستگی داره؟ بیمه درمانی؟,این اجرای حقوق بازداشتی صورت گرفته است؟ - فدرال
306,"but the school would like to help jason process, and--","ولی مدرسه دوست داره که …به روند «جیسون» کمک کنه,و",اما مدرسه دوست دارد که ...با روند «جیسون» کمک کند،
307,over!,تمام,تمام
308,oh.,اوه,آه!
309,i'm sorry for all of us.,بابت همه اینا متاسفم,در مورد همه این ها متاسفم
310,know her name. -ew.,اسمش رو بلدن,اسمش ر تینن
311,riley paints her nails to match her jersey.,رایلی لاک ناخنش رو با لباسش ست می‌کنه,لباس های رسمی رایلی لاتی با لباس های رسمی پوش
312,"""not ready yet""?",«هنوز اماده نیست؟»,«هنوز آمادگی ندارد؟»
313,hi.,سلام,- بله. -
314,ah! -we gotta say something.,اه - باید یه چیزی بگیم -,- اوه - باید چیزی بگویم -
315,i mean no. i...,…یعنی نه، من,یعنی نه، من
316,it's time.,وقتشه,وقتشه
317,"and bringing up the rear,",…و در اخر,و در پایان
318,"just one moment, please.",یک‌لحظه لطفا,یک لحظه لطفا
319,behind the tornado and plant his radar,…می‌ره پشت گردباد و رادارش رو,پشت گردباد و پشت نوار خاردار رها می شویم
320,i told you we didn't need her.,بهت گفتم بهش نیازی نداریم,بهت گفت که بهش نیازی نیست.
321,riley is still exceptional.,رایلی هنوز هم استثناییه,رایلی هنوز هم بدون توجه است
322,"yes, you can.",اره، می‌شه,اره، می شه
323,"come on, kate. you got this.",زودباش کیت از پسش برمیای,زودباش، کیسه ی پشتیبانی از پسش
324,imbecile.,کودن,کودن
325,to load the updraft.,تا جریان عمودی رو از بین ببره,تا پایان جنبش عمیق از بین برود
326,"we had an agreement, right?",توافقی داشتیم. باشه؟,مخالفت با هم خوب است. خوب؟
327,all right. then let's do it.,. خیلی خب. پس بیا انجامش بدهیم,خیلی خب. پس باید ادامه داد.
328,and the answer is yes.,جوابش اره‌ست,پاسخ دادن به اره است
329,it's a health and fitness trade show...,یه نشان بهداشت و امادگی جسمانیه,نشانه ای از ناتوانی جسمی و ناتوانی
330,"please, please.",خواهش می‌کنم,لطفا
331,"i mean, what, are you thinking of a career change, or, uh--",منظورم اینه که تو داری به یه تغییر شغل فکر می‌کنی یا …ا,هدف این است که تو باید به فکر تغییر شغلی باشی یا
332,we gotta hail a cab. hold your hand out.,ما باید تاکسی بگیریم دستت رو دراز کن,ما باید کسی را بگیریم که دسته ی ماشین را بردار
333,we can't stay here. - there!,نمی‌تونیم اینجا بمونیم -! اونجا -,- اینجا - ! آنجا -
334,you did great. we love you.,کارت عالی بود عاشقتم,کارت عالی بود عاشق من
335,"hey, dorothea.",هی دورسیا,هی دوروسیا
336,"i can do it. - stay low! no, no, no, no, no!",از پسش برمیای -! پایین بودن! نه، نه، نه، نه، نه -,از پسش برمی یابد- ! سقوط پایین! نه، نه
337,hold on!,طاقت بیار,طاقت بیرون آمدن
338,"you have to score, riley!",باید گلزنی کنی رایلی,بايد گل زنی رایلی را نشان بدهیم
339,"some of it's not as boring as it is at the you seminar,",بعضی هاش به اندازه سمینار شما کسل‌کننده نیست,بعضی از آن ها به اندازه ی سماویور قابل قبول نیست
340,this one's different!,! این یکی فرق میکنه,این یکی فرق می کند.
341,"look, if, if, if there is a fine",ببین. اگه جریمه‌ای,اگر جریمه ای برای حمله پیدا کنید.
342,"wait, what? are you serious?",شوخیت گرفته؟,زشتی گرفته شده؟
343,"well, me and him get arrested one more time,",خوب من و اون یه بار دستگیر شدیم,خوب، من و او یک بار تحت فشار قرار گرفتیم.
344,yeah.,اره,اره
345,i'm not good enough.,من ناکافی‌ام,من رنجیده ام
346,new lifeguard. yep.,. نجات‌غریق جدی اره,نگهداری گرجستان جدی اره .
347,"the girl i know, she'd be going into the storms",اون دختری که من می‌شناسم …در حالی که بقیه فرار می‌کنن,دخترهایی که من شناخته ام ...در حالی که همه ی این
348,fucker!,لامصب,مخالف مقامات
349,"no, i don't remember.",نه. نیست,نه. بله.
350,she wasn't there when it happened. she was probably at the pool.,". وقتی اتفاق افتاد,اون اونجا نبود. احتمالا تو استخر بوده",وقتی اتفاق افتاد، اونجا نبود. ظاهرا تو گل
351,to become a fire hawk.,که منجر به عضویتش در تیم شد,که به عضویت او در تیم پرداخته شود
352,"let's go, baby.",بریم عزیزم,دخترک را رها کنید
353,i need to get the fuck out of this town.,باید ازین شهر لعنتی. برم بیرون,باید از شهر داگونتی استفاده کنیم.
354,or walking. i'm really good at walking.,یا راه رفتن کارم توی راه رفتن خوبه,یا راه رفتن کارمن در راه رفتن خوبه
355,how may i direct your call?,با کی کار دارین؟,با چه کارهایی؟
356,maybe you could just stay in one place.,شاید بهتر باشه یه جا بند بشی,شاید بهتر باشد یک جا را ببندیم
357,what? who sent that projection to riley?,چی؟ کی این تصویر رو واسه رایلی ارسال کرد؟,چطور؟ این تصویر به خاطر رایلی منتشر شد؟
358,where's the other detective?,کاراگاه دیگه کجاست؟,کاراگاه گودال کجاست؟
359,you got to quit eating chocolate in the damn truck.,دیگه نباید توی ماشین، شکلات بخوری,گوشت توی ماشين نباید توی ماشین باشد، شکلات برنج
360,"because he wouldn't listen,",…چون گوش نمیده,چون گوش دادن به گوش
361,never mind.,بی‌خیال,بدون خیال
362,i'm sorry.,ببخشید,بخشیده شدم.
363,i'll come.,. منم میام,بوم میام .
364,in this town of all places?,برگرده این شهر؟,شهر را رها کرده اند؟
365,"my team sets up two more, here and here.",تیمم دوتا رادار دیگه اینجا و اینجا کار می‌ذاره,تیمم دوتا رئیس منطقه ی رئیس جمهور در این
366,it's so embarrassing.,. این خیلی خجالت اوره,این نوع عجیب و غریب .
367,you'd never be able to get it close enough.,امکان نداره بتوانی به اندازه کافی به گردباد نزدیکش کنی,امکانش نیست که تا اندازه ای در طول بادباد به سمت چپ
368,"""how to recall non-memory objects""",فصل ۷ و مفهوم «چگونگی تداعی,فصل ۷ و مفهوم «گونگی طرح»
369,"hey, ben, i'm gonna need you to hand me",…هی بن، چندتا از اون مانورهای,سند بن، چند نفر از آن منطقه های مختلف
370,"how you been, mr g?",حالتون چطوره اقای جی؟,وضعیت وضعیت آقای جی چطور است؟
371,ah! this is amazing!,اه! این فوق العاده‌ست,آه! این فوق العاده است
372,what are you doing?,چی کار می‌کنی؟,چگونه کار می کنی؟
373,"so, uh, how do they get to earth, then?",…خب چجوری به زمین میرن؟,- حالا که در زمین رخنه می کند، -
374,now get in.,حالا برو داخل,حالا برو داخل
375,you're not gonna hurt him?,تو که باش اسیب نمی‌زنی؟,تو یه نفر نباید کسی را پیدا کنی؟
376,"you got a little newborn, right?",یه بچه کوچیک داری؟,آیا یک بچه کوچیک صاحب خانه است؟
377,i'm cured. i'm cured.,من خوب شدم من خوب شدم,من خوب شدم خوب شدم
378,he's that jovan guy.,اون یارو جوان باشه,اون یارو جوان خوبی است
379,"be quiet. - dude, i fucked this up so bad.",ساکت باش - بدجور گند زدم پسر -,خسته شو- دخترک-
380,it's okay.,چیزی نیست,چیزی نیست
381,"two, three, four.",دو، سه، چهار,دو، سه، چهار،
382,"what's that mean? -""forgot.""",یعنی چی؟ - «یعنی» یادمون رفت -,- «منظورم این است که یادمان رفته است-
383,she's currently in tokyo with her sister.,الان توکیوست با خواهرش,حالا با هجوسازی می کنی
384,"i mean, i did good.",یعنی کارم خوب بود,یعنی کارم خوب بود
385,i can't fucking believe this.,باورم نمیشه,قابل درک نیست.
386,clean this shit up.,تمیزش کنین,لطفا لطف کنید
387,she'll be fine. she's okay.,چیزیش نمیشه حالش خوبه,چیزی غیر از وضعیت خوبی
388,but heavy enough to anchor barrels in 100-mile-an-hour winds.,اما به‌اندازه کافی هم سنگین هست که بتونه بشکه‌ها رو توی باد با سرعت ۱۶۰ کیلومتر در ساعت، نگه داره,اما به اندازه کافی سنگین است که می تواند ظرف های ظر
389,can we not? - maybe just a little.,می‌شه بس کنی؟ - یه کوچولوش رو تعریف می‌کنم -,- آیا باید ادامه دهی؟ - یه کوچولو را 
390,sorry i stole your car.,ببخشید ماشینت رو دزدیدم,قطعا ماشین ها را دزديده اند
391,she was very happy.,اون خیلی خوشحال بود,او خیلی خوشحال بود
392,"well, she just knows everything, doesn't she?",همه‌چیز دانه، مگه نه؟,همه چیز دانه است، آیا نه؟
393,i'm an irritable wallflower who's dangerously curious.,من یه شب بوی زد بد خلقم که حسابی کنجکاوه,من یک شب بوی بد خلق و چلاقی را که ظاهرا کنجک
394,i thought you were gonna say the time we peed in the pool.,فکر می‌کردم می‌خوای خاطره شاشیدن‌مون توی استخر رو تعریف کنی,فکر می کنم می خوام خاطره ی شادی کننده مون در گل
395,you gonna transfer the money so she can live?,پول رو انتقال میدی تا زنده بمونه؟,پول ها باید پولی را از طرف میدی تا زنده ماندن انتقال
396,we need a 40-foot trailer that's light enough for a pickup,یه تریلر ۱۲ متری نیاز داریم به‌اندازه کافی برای پیکاپ سبک هست,یک تریلر ۱۲ متری برای استفاده از پیک پوک سبک نیاز
397,"better be careful, man. you pass out like that in vermont, you froze in the snow.",بهتر مراقب باشی پسرتو جوری از حال رفته بودی که انگار توی ورمانت توی برف یخ‌زدگی,بهتر است تحت نظر خودت باشی پسرتی که فکر می کند در 
398,i think you need to step in and counsel her.,میخوام مداخله کنی و باهاش صحبت کنی,می خواهم وارد بحث بشم و با اونا حرف بزنم.
399,no. are you sure?,نه- مطمینی؟ -,نه- مخالفین؟-
400,"and a best friend's wedding before you're invited,",و ازدواج دوست صمیمی به دعوت تو مونده,و ازدواج دوستی با هم صمیمی به دعوت به موکدا
401,miss kamen?,خانم کمن؟,خانم کونز؟
402,i freaked out.,از خود بی‌خود شدم,از خود بیخودی
403,"and when i finally caught up with her,",…و وقتی بهش رسیدم,و وقتی به اتفاق افتاد
404,whoa!,اوه,آه!
405,"no, i mean, you know,",نه. یعنی,نه.
406,now it's your turn.,الان نوبت تو یه,حالا به من جواب می دهید
407,the count hasn't been off in centuries.,قرن هاست که شمارش مشکلی نداشته,قرن ها همیشه تعداد مشکلات را مشخص می کند
408,am i saying it right?,درست گفتم؟,حرف های قطعی؟
409,6:30? you serious?,۶:۳۰ جدا؟,۶:۳۰ جدا؟
410,what is your position on pizza?,نظرت درمورد پیتزا چیه؟,نظریه در مورد پرچم چیست؟
411,"let's just, you know, do whatever.",، …بیا فقط..، میدونی هر کار میخوای بکن,فقط ، ... می دانیم هر کاری که می خواهد 
412,"like me? as in, alive?",مثل من؟ یعنی، زنده؟,مثل من؟ یعنی زنده؟
413,log into your account,وارد حسابت شو,وارد صفحه حسابرسی شدند
414,hold it right there!,تکون نخورید,ضربان نخورید
415,"oh, no. what did i do?",وای نه، این چه کاری بود کردم؟,بله، این چه کاری من کردم؟
416,i remember really well.,. من خیلی خوب یادم میاد,من خیلی خوب یادبود میاد هستم.
417,"you know, i'm comfortable up here.",میدونی، من اینجا راحتم,ميدونم، من اینجا راحتم
418,"um, i-if somebody had an animal...",…اگه کسی یه حیوونی داشت,اگر کسانی که این همه زحمت کشیده اند
419,"um, just, absolutely, um.",حتما,حتما
420,come on!,بالا,بالای سر
421,tell robert he's out. for now.,به رابرت فعلا بگو بره,به رابرت که عملا به چشم بربر می نگریست
422,"you're in the cat? - wait, wait, that's my body.",تو توی گربه‌ای؟ - صبرکن، صبرکن، این بدن منه -,تو توی گربه ای؟- فروبرک، فروبرک، این بدن
423,ugh! you're always on me!,اه! دایم رو مخمی,اوه! مخفیگاه دایم
424,i'll gather all the necessary provisions...,…من همه وسایل مورد نیاز رو جمع می‌کنم,من همه وسایل لازم را جمع می کنم
425,and i've never seen anything that's made me want to live.,و تاحالا هیچ چیزی ندیدم که بتونه منو راضی به زندگی کردن بکنه,و تا حالا هیچ چیزی ندیدم که بتوانم منو از 
426,"every messy, beautiful piece of her.",تمام ویژگی‌های ناخوشایند و قشنگش رو,تمام نشانه های ناخوشایند و زشت
427,it's child abuse is what it is.,بهش میگن کودک ازاری,بهش می گوید که کودکان دریایی
428,the fire hawks have accepted us.,بچه‌های تیم، ما رو پذیرفتن,تیم های کوچک، ما را مورد قبول قرار می دهیم.
429,it's recommended for someone in your state.,برای یکی با وضعیت شما پیشنهاد میشه,برای یکی از افرادی که وضعیتشان را نشان می دهند،
430,i did it. i got the gig. yes!,توانستم، انتخاب شدم! اره,!ممکن است، انتخاب شدم! اره!
431,land! yes! -yes!,خشکی - ایول -,زوزه - ایول -
432,"come on, now. - nope, nope, nope.",زودباش - نه، نه، نه -,زودباش- نه، نه، نه-
433,"one night he showed up on my doorstep,",یک شب اومد دم در خونه‌ام,یک شب در خونه ام صبحگاهی رخ داد
434,"no, no, no, man. she don't play that.",نه، نه، نه، مرد نمیخواد باهاش اجرا کنی,نه، نه، نه، مرد نمی خواهد با آن ها اجرا کند.
435,"oh, pouchy!",اوه، اقا کیفه,اوه، خانم کیمبل
436,i've got the photos of the damage done to your car.,تصاویر خسارت وارد شده به ماشینتون درام,عکس هایی که به ماشین ماشین تحریر وارد شده اند
437,"run your experiment, see if it works.",ازمایشت رو اجرا کن ببین جواب می‌ده یا نه,از مایشتر اجرا کن ببین پاسخ من ده یا نه
438,it's the space between the physical and spiritual.,این فضای بین جسمانی و روحانیه,این ارتباط بین جسمی و روحانی
439,go home!,! برید خونه هاتون,! گروه های شجاع خونه هاتون را نشان می دهند
440,does this mean i'm dead?,این یعنی من مردم؟,این به معنی من مردم است؟
441,i bet you're the best,شرط می‌بندم که شما,شرط می بندم که شما
442,i respect you so much.,من خیلی برات احترام قایلم,من برای رفع مشکلات مناسبی دارم
443,disrupting tornado dynamics.,مختل‌کردن دینامیک گردباد,چرخش نیمه کاره ی دینامیوم را مختل می کند
444,but someone might need help.,اما شاید یه نفر به کمک نیاز داشته باشه,اما شاید یکی از افرادی که به کمک نیاز دارند نیازمند
445,sarah adopted this kid.,سارا این بچه رو به فرزندخواندگی گرفته,سارا این بچه را به خواندن خواندن کودکان گرفته است
446,"come on. come on, come on!",یالا. یالا,یالا. یالا.
447,thought college might be better for my brain.,با خودم گفتم کالج رفتن فایده بیش‌تری برای مغزم داره,با خودم می گویم که رفتن کالج برای مغزم بیش از حد
448,"anyway, i never got my spark.",به هر حال من هیچ وقت جرقه‌ام رو پیدا نکردم,در هر حال من هرگز جرقه ام را پیدا نکردم
449,"and that means we hit the ice early,",و این یعنی باید زودتر به پیست هاکی برویم,و این یعنی باید زودتر به سمت گروه هاکی بروید
450,hungry?,گرسنه نیستی؟,زشت نبود؟
451,everybody act regular. it's valentina ortiz.,. همگی عادی رفتار کنید والنتینا اورتیزه,همگی رفتار عادی با شما در مورد آندستی اوریویست
452,"look, i know you love playing.",ببین، میدون تو عاشق نواختنی,ببین، میدان تو عاشق نواختنی هستی
453,"i mean, not that it matters at this point,",نه که الان مهم باشه,نه که این مسئله مهم است
454,i'm sarah. - rebecca.,من سارام - ربکا -,من سارام - ربکا -
455,riley!,رایلی,رایلی
456,i'm not good enough at all.,من اصلا خوب نیستم,من اصلا خوب نیستم.
457,i only do what she makes me do.,فقط کاری می‌کنم که مجبورم کنه,فقط کاری می کنم که بتوانم این کار را بکنم
458,"it's your time to go, joe gardner.",وقت رفته جو گاردنر,وقتی جو گاردنر رفته بود
459,"joy, i'm doing this for you!",شادی، دارم این کار رو به‌خاطر تو می‌کنم,خوشحالی، من این کار را به خاطر تو انجام می دهم.
460,"no, no, no. we've got to drop the barrels in its path.",نه، نه، نه. باید بشکه‌ها رو توی مسیر گردباد بندازیم,نه، نه، نه. باید ظرف های ظرف شویی را در
461,and orange?,چرا داخلش نارنجی شده؟,چرا در داخلش نارنجی زده شده؟
462,but what... what filled in the last box?,…اما چی چی جای اخر رو پر کرد؟,ولی چطور چطور چیزی باید برای آخرین بار گسترش 
463,"thanks, coach roberts.",ممنون، مربی رابرتس,متشکرم، رانبرز
464,could you help us get out of here?,می‌شه کمک‌مون کنی از اینجا خارج بشیم؟,آیا می خواهید کمک مون کنی از اینجا خارج شویم؟
465,"all right, let's not get distracted.",خیلی‌خب، حواس‌تون پرت نشه,خیلی خب، چشمان چشمان چشمان شلوغ و شل
466,"kate. here, take some food.",کیت بیا، با خودت غذا ببر,کیسه ی غذای خودخواهانه
467,i've been waiting my whole life for this very moment.,کل زندگیم رو منتظر این لحظه بودم,زندگی من این لحظه منتظر بود.
468,likely scenarios.,سناریوهای احتمالی هستند,وضعیت مالی ایشان همین است
469,he fucking shot me!,بهم شلیک کرد,به طرف من صدا زدند
470,"the one, the only...",…معرفی می‌کنم,... معرفی می کنم
471,tomorrow is everything.,فردا روز خیلی مهمیه,فردا روز خیلی مهمی است
472,when your expectations are so high.,وقتی‌که انتظارات بالا باشه,وقتی که انتظارات بالای سرشان ادامه دارد
473,"yes, ma'am.",اره,اره
474,no.,نه,نه
475,mm-hmm.,اوهوم,اوه، بله.
476,no. no. no.,نه، نه، نه,نه، نه، نه، نه، نه، نه، نه، نه،
477,okay. - thank you.,خیلی‌خب - ممنون -,خیلی خب - متشکرم -
478,love you. - love you.,دوستت دارم - منم دوستت دارم -,دوست دارم- من دوست دارم-
479,"no. i've gotta find it here, on earth.",نه من باید اینجا پیداش کنم روی زمین,نه، من باید اینجا پیدایش کنم.
480,"how you doin'? hi, rick. how are ya?",چیکارا می‌کنی؟ «سلام» ریک چطوری؟,چگونه می توانید حرف بزنید؟ «سلام» راک چطور؟
481,uh-oh!,اوه اوه,آه، آه،
482,"anxiety has got you all chained to desks,",اضطراب، شما رو به این میزها غل و زنجیر کرده,اضطراب، شما به این صفحه ها زشت و زشت می
483,"once you get a lawyer,",وقتی وکیل بگیری,وقتی کیل بگير
484,"oh, yeah. or that.",اره، این هم می‌شه,اره، این ها هم باید اتفاق بیفتد.
485,let's hold off on any alerts.,بیاید فعلا هیچ هشداری صادر نکنیم,فعلا هیچ هشدار و هشدار صادر نشده است.
486,smash as many as you can! -joy!,تا جایی که می‌تونید بشکونیدشون - شادی -,تا جایی که می توانید طعمه های شادمانه را ببینید
487,"okay, we should, um...",…خیلی‌خب، باید,خوب، باید
488,she going the wrong way?,داره اشتباه می‌ره؟,آیا باید برای من اتفاقی افتاد؟
489,we're very happy.,ما خیلی خوشحالیم,ما خیلی خوشحالیم
490,it'll happen.,میوفته,روغن زده شده
491,it's a ridiculous story.,داستان مسخره‌ایه,داستان موزامبا
492,"so this is an ef1, perfect conditions.",پس این یه گردباد فوجیتای یک‌ه با شرایط ایده‌ال,پس این یکی از نقاط مختلف منطقه ی یک منطقه 
493,she's not-- she's not staying at little jason's.,…اون. اون با «جیسون کوچولو» واینمیسته,او، او با «کریستسون کوچولو» و این صدا قطع شد.
494,"i hope i see you, man. all right. peace.",امیدوارم ببینمت مرد خیلی خب، به امید دیدار,امیدوارم مرد را ببینم خیلی خوب، به امید دیدار
495,"andersen, penalty box, two minutes.",اندرسن، به مدت دو دقیقه محرومی,اندرنسون، در عرض دو دقيقه ی گذشته
496,he's just a little baby.,اون فقط یه بچه ست,او فقط یک بچه است
497,"oh, wow. - see?",اوه وای - می‌بینی؟ -,- اوه، - بینی؟ -
498,"hockey scholarship, here we come!",بورسیه‌ی خاکی، اماده باشد که اومدیم,برای ورود به این کشور، باید برای شرکت در انتخابات استفاده
499,"wait, hold on.",صبر کن، وایسا,صبر کن، ویسا
500,i really do.,واقعا می‌گم,واقعا می گویم
501,wow.,وای,بله
502,"curley! uh... no, no.",کورلی اوه، نه، نه,کورتی اوه، نه، نه.
503,that i might be working on my life?,من شاید روی زندگی خودم کار می‌کنم؟,من شاید در زندگی خودم برای خودم کار می کنم؟
504,since you killed sully.,علیهت بشه,فتح مقام
505,"which one's it gonna be, kate? - okay, i'm on it.",سراغ کدوم بریم کیت؟ - خیلی‌خب، الان می‌گم -,- چرا باید برای پیدا کردن کیسه ی نیمه 
506,"oh, yeah? what happened?",اوه، جدا؟ چی شد؟,اوه جدا؟ چه اتفاقی افتاد؟
507,"you know her, you love her,",ایشون رو می‌شناسید و دوستش دارید,اونا را شناسایی می کنند و دوستش را می شناسند
508,"dad, stop.",بابا بس کن,پدر بلاک کن
509,is 200 miles per hour.,‏ ۳۲۲ کیلومتر بر ساعت‌ه,۳۲۲ کیلومتر در ساعت هشت
510,wanna come this time? -yes.,می‌خوای این دفعه بیای؟ - اره -,آیا این دفعه می خواهد بیاید؟ - اره -
511,"i mean, you say that,",تو اینجوری فکر می‌کنی,تو این جور فکر می کنی
512,you were right back there.,حق با تو بود,حق با تو بود.
513,do you see a key?,کلیدی می‌بینید؟,کلیدی می بیند؟
514,"the suit is wool, not polyester.",این لباس پشمیه نه پلی‌استر,این لباس لباس پوشیده نه پوستوفرر
515,"all right, this is the last snack.",خیلی خب این اخرین خوراکیه,خیلی خوب، این غذای آخرین
516,"you're okay, you're okay.",چیزی نیست چیزی نیست,چیزی نیست چیزی نیست
517,"well, i doubt it. fine.",. بعید می‌دونم …باشه,عید می دونم ...باشه
518,i... i know.,…من من میدونم,من می دانم
519,"but every year, i do a three-day skills camp.",ولی هر سال، یک اردوی استعدادیابی برگزار,اما هر سال یک گروه قابلیتیابی اردوگاه برگزار می شود
520,yep. sometimes the old ways are better than the new.,اره. بعضی‌وقت‌ها روش‌های قدیمی از روش‌های جدید بهترین,اره. بعضی وقت ها روش های قدیمی از روش های جدید بهترین
521,i'm sleeping over. yes!,من استراحت می‌کنم اره,من راحت می شوم اره
522,"okay, take these.",خیلی‌خب، این رو بگیر,خیلی خوب، این را بگیرید
523,when do you want to head out?,کی می‌ریم؟,آیا می خواهی کسی را ببیند؟
524,just--,…فقط,فقط
525,it inhibits a storm from forming.,جلوی شکل‌گیری طوفان رو می‌گیره,ضربه ی ضربه ی طوفان جلو می افتد
526,i'm always counting. i'm counting right now.,من همیشه حساب می‌کنم الان هم دارم حساب می‌کنم,من همیشه حساب می کنم، حالا هم دارم حساب می کنم
527,see you at the half note at 6:30!,ساعت ۶:۳۰ توی هف نوت میبینمت,ساعت ۶:۳۰ در صفحه ی صفحه ی صفحه ی 
528,ow! -sorry.,اخ - ببخشید -,- لطفا -
529,oh. hmm.,اوه. هوم,آه. بله.
530,"i, uh, i was on my way",داشتم میومدم,من دارم میومدم
531,i'm tired!,من خسته‌ام,من خسته ام
532,she has no memory of the last several hours.,یادش نمیاد,یادآوری نبود
533,"wait, wait, wait! - hey, hey, hey!",! صبر کن، صبر کن، صبر کن -! هی، هی، هی -,! صبر کن، صبر کن، صبر کن، صبر کن- 
534,"joy, i'm just curious. maybe, um, i could help...",. شادی، صرفا کنجکاوم …شاید بتونم کمک کن,خوشحالی، صرفا کنجکاوم ...شاید این است که من کم
535,we'll see you in a few days. -have fun!,چند روز دیگه می‌بینیم‌تون - خوش بگذره -,چند روزی وقتی تونستیم - خوب بگو -
536,"this has nothing to do with leigh. yes, it does, damn it!",". این هیچ ربطی به «لی» نداره -! چرا,داره,لعنت -",این هیچ ربطی به «تی» ندارد- !چرا، آیا
537,i'm gonna have to resign. no.,. من باید استعفا بدم -. نه -,من باید استعفا بدم را قبول کنم نه -
538,okay.,. باشه,خوبه.
539,i would die a happy man,من از خدامه بتونم با,من از خدا می خواهم
540,"it's not good. i mean, i'm not--",خوب نیست …منظورم اینه که,خوب نیست ... برای اینکه
541,"can't miss from in there. - oh, shit.",توش که باشیم، دیگه خطا نمی‌زنیم - اوه لعنتی -,- اوه لعنتی -
542,he has a mom.,یه مامان داره,یک مامان وجود دارد
543,how about we launch some new rockets?,چطوره چندتا فشفشه هوا کنیم؟,چطوری باید چند تا ماشین بخاری را برای هوای آزاد 
544,her sense of self.,هویت,حافظه
545,stick? -yes.,چوب هاکی؟ - باهامه -,چوب دان ؟ - آخوند -
546,i want you to sit down and shut up.,میخوام بشینی و خفه شی,می خواهم لباس های نرم و نرم بخورم
