en_text,fa_text
no. we have one day left.,نه. کلا یه روز مونده
can we get a refund going here?,می‌تونم پولم رو پس بگیرم؟
there's no point.,بی‌فایده است
which will happen any minute now because your stomach is earthquaking.,کدموش تا چند لحظه دیگه اتفاق میفته چون شکست داره صدا میده
[ whispers ] yes.,اره
i'd give anything for a piece of pizza right now.,الان جون می‌ده پیتزا بخوری
you're gonna get thirsty out there.,اون بیرون، تشنه‌تون می‌شه
how much longer till we get there?,چقدر دیگه مونده تا برسیم؟
"strattonham, berkshire, what the hell?",استراتنهام، برکشر …چه چیزها
"okay, you and i are gonna be friends.",خیلی‌خب، من و تو باید دوست باشیم
wait. you're really not bjorn borgensson?,صبرکن، تو واقعا بیورن بورگنسون نیستی؟
yeah...,اره
i hear a heart monitor.,صدای یه دستگاه نمایشگر قلب رو می‌شنوم
you really do.,. تو واقعا میدونی
great observation.,نکته خوبی بود
you think his testimony,به نظرت شهادت اون
"oh, no, not me.",اوه نه، من نمی‌رم
i'm gonna lifeguard.,قراره نجات‌غریق بشم
"hey, are you the one in charge here?",هی، رییس‌شون تویی؟
"oh, we're doing a... no.",بزنیم قدش …نه
see? i told you not to freak her out.,دیدین؟ بهتون گفتم نترسونیدش
we do not trust bankers. okay?,ما به هیچ وجه به بانکداران اعتماد نمی‌کنیم باشه؟
we gotta get out of here before they take me away.,ما باید از اینجا بریم قبل از اینکه منو ببرن
one glass of red wine is... fine.,یه لیوان شراب قرمز مشکلی نداره …
"we were all banished here,",ما همه‌مون به اینجا تبعید شدیم
"you realize that minimum wage is 8.25 now, so that's-- that's not exactly--",تقریبا ساعتی دور و بر ۹ دلار ه …میدونی حداقل دستمزد ۸ ٫ ۲۵ دلار ه …خب این دیگه دقیقا مطمینی؟ - تو نمیتونی یه غریق نجات بشی-
oh. uh... yeah. okay.,. اوه، باشه خیلی‌خب
"my boss, he call over here. nothing.",رییسم خبر کرد که پیام اینجا خبری هم نیست
"and do not look back, classmates,",و به عقب نگاه نکن هم‌کلاسی
i was gonna play with dorothea williams!,من با دورسیا ویلیامز اجرا داشتم
you know that you were the solar eclipse of my life?,میدونی که تو خورشید گرفتگی زندگی من بودی؟
"you promised, but you wouldn't even give me five minutes!",بهم قول دادی، اما حتی بهم ۵ دقیقه هم وقت ندادی
"well, that wasn't my intention.",خب، چنین نیتی نداشتم
i wanted to be a veterinarian.,من می‌خواستم دامپزشک بشم
"everyone has a talent, robert.",هرکسی که یه استعدادی داره رابرت
"hey, look, if you don't make it this year,",هی ببین، اگه امسال عضو نشدی
"about what i said earlier, i didn't mean any of that.",…درمورد حرفی که بهت زدم اصلا منظوری نداشتم
"hey, kate.",سلام کیت
tyler! - get him in!,! تیلر -! ببرش داخل -
"and then we take a nice, easy float",بعدش با یک شناور، راحت و قشنگ
i'm a good person.,من ادم خوبی‌ام
gun!,اسلحه
lisa!,لیسا
or what if riley is better than val and val respects her?,یا اگه رایلی بهتر از وال باشه و وال بهش احترام بذاره چی؟
perhaps our therapy cat can go to his next appointment.,گویا گربه درمانیمون میتونه بره سراغ مریض بعدی
it's your butt. - it doesn't matter whose butt...,کون تو یه - …مهم نیست کون کیه -
"hey, no! leave your cars! get inside!",! هی، نه! ماشین‌ها رو ول کنید! برید داخل
"you know, uh, ef1 or ef5 tornado rating...",…می‌دونی، رده‌بندی فوجیتای یک یا پنج
has to be perfect. - ...has to be perfect.,باید بی‌نقص باشند - باید بی‌نقص باشند -
"i don't know why, but they do.",نمیدونم چرا ولی خوششون میاد
"are you serious? -yeah,",جدی می‌گی؟ - اره -
but he's a video game character.,ولی اون که یه شخصیت ویدیو گیمیه
and then i'll come home and tell you everything.,. بعدش میام خونه و همه چیز رو بهت میگم ….
we're tried as adults.,و مثل بزرگسال ما محاکمه شدیم
just no more of those baby ef0s.,فقط دیگه از اون گردبادهای کوچولوی فوجیتا صفر نباشه
yes?,بله؟
no immediate information,اطلاعات فوری‌ای
"i get, i get this is personal,",درک می‌کنم که این مسیله شخصیه
"one, two, three... -foghorns!",…یک، دو، سه - شیپور -
this is not what i fucking signed up for.,من برای این کارها نیومدم
congratulations!,! تبریک میگم
so we talked to her.,باهاش صحبت کردیم
"geez. listen, this is crazy, all right.",یا خدا. گوش کن. این دیوانه
get down! get down!,! سرت رو بدزد! برو پایین
of course i have a plan. who doesn't have a plan?,. معلومه که برنامه دارم کیه که بی‌برنامه باشه؟
"all you have is the car,",تنها چیز که دراین ماشینها
"riley, you aren't packed yet?",رایلی، هنوز وسایلت رو جمع نکردی؟
ah!,اه
"you listen to me, lance slashblade.",گوش کن، لنس اسلش‌بلید
we cannot correct val ortiz.,نباید غلط وال اورتیز رو بگیریم
"all right, dani, where am i headed?",خیلی‌خب دنی کجا برم؟
these are the properties that were wiped out yesterday.,اینجا خونه‌هایی هستند که دیروز تخریب شدن
"in the hall of everything,",توی
"well, from what i see, they're trying to make a difference.",خب، این‌طور که من می‌بینم می‌خوان یه تغییری ایجاد کنن
look immediately.,فورا نگاه کن
you're just changing.,صرفا داری دچار تغییر می‌شی
no freshman has ever done that.,هیچ سال اولی‌ای تاحالا همچین کاری نکرده
i'll get the doctor.,میرم دکترو خبر کنم
"hold on. hold on! - oh, tyler, this is dumb.",! سفت بشین، سفت بشین - اوه تایلر، این کار واقعا حماقت‌ه -
it's what you would call the boredom.,شما بهش می‌گید ملالت
"i'll go, you know,",…من می‌رم
"oh, no.",وای نه
how many times do i have to tell you?,چند بار باید بهت بگم؟
"but, joy... -wow! our girl is hungry.",…ولی شادی - وای! دخترمون گرسنه‌ست -
"and fresh from the penalty box,",و تازه محرومیتش تموم شده؛
"you know, i really am glad there's someone else",میدونی، من واقعا خوشحالم می‌بینم …یه نفر دیگه هم
joy! we need this idea!,شادی! به این ایده نیاز داریم
is that right? do you think,واقعا؟ - …فکر می‌کنی -
come on. we're almost there. i got you.,زودباش. دیگه رسیدیم گرفتمت
"guys, you got to get out of there!",! بچه‌ها، باید از اونجا بیاید بیرون
it's beautiful!,خیلی قشنگه
so you don't-- no. [ lighter clicks ],خب تو نمی‌کشی …نه
they taste like cardboard.,مزه‌ی کارتن می‌دن
"""we're not gonna think about that right now."" whoo!",و موقتا فراموش می‌شه
"you heard me, right?",شنیدی چی گفتم درسته؟
"sorry, joy.",شرمنده شادی
"northwest, ten o'clock? - that's the one. let's ride.",شمال غربی، موقعیت ساعت ۱۰؟ - خودشه، بریم -
just no more surprises.,فقط دیگه نباید اتفاق غافلگیرکننده‌ای بیفته
apologize for the outburst.,بابت اعصاب خریدم عذر میخوام
riggs is offering these people,…ریز داره به این مردم
"all right, embarrassment.",خیلی‌خب خجالت
"22, you're only loving this stuff because you're in my body.",شماره ۲۲ تو عاشق اینجور چیزا شدی چون توی بدن من هستی
"you can't eat dreams for breakfast, joey.",تو نمیتونی رویاهات رو واسه صبحانت بخوری جویی
we call this the evidence.,به این می‌گویم مدرک
"so when i'm gone, who's gonna pay yours?",پس وقتی‌که من نباشم کی قراره خرجتو بده؟
"thank you, jerry.",ممنون، جری
"and if we don't know where we're going,",و اگر ندانیم قراره کجا بریم
i'm a good person.,من ادم خوبی‌ام
don't question anything.,چیزی رو زیر سوال نبر
"yeah, well, you know, real life can be disappointing...",خوب میدونی زندگی واقعی میتونه نا امیدکننده باشه
you talked to albert?,با البرت صحبت کردی؟
whoa.,! وای
"why? i thought we said, like, in a week or whatever.",",چرا؟ فکر کردم که گفتم,خب. تو یه هفته یا هرچی"
"i came back here, and that's when i spotted her.",وقتی برگشتم اینجا اون موقع دیدمش
we come back tomorrow night and do it all again.,فردا شب دوباره برمیگردیم و دوباره اجرا می‌کنیم
tyler!,! تایلر
what is that? - shh!,این چیه؟ - شش -
"sorry to interrupt, mr gardner.",«ببخشید مزاحمتون شده اقای» گاردنر
i'm kind.,من مهربونم
make a trade. make a trade.,داد و ستد کن داد و ستد کن
"hey, look, i'm the new drummer in the dorothea williams quartet,",هی، ببین من درامر جدید گروه دورسیا ویلیامز «هستم»
here.,بیا
i aim for variety.,دنبال تنوعم
"no, we're not really sure how he worked.",نه. مطمین نیستیم روش کارش چطور بوده
these memories were also creating beliefs.,این خاطرات، باورها رو هم ایجاد می‌کنن
i zoned out a little back there.,یکم جو گیر شدم
mm-hmm.,اوهوم
good. - hundred yards to intersect.,خوبه - نود متر تا تقاطع -
"on the brink of madness, thanks for asking.",اوه، در لبه‌ی افسردگی ممنون که پرسیدی
just ask her nicely if she can fix my suit.,با احترام ازش درخواست کن ببین میتونه شلوارت رو درست کنه
"angle the shoulders, and... - oh, hey, who's that?",…زاویه شونه هات و - اوه، هی، اون کیه؟ -
i saw todd.,تاد «رو دیدم»
"hi, uh, i had a.",…سلام. من
may the road rise.,. شاید فرجی شد
find the spark.,جرقه رو پیدا کنید
i'm a winner.,من برنده‌م
"and our special guest today,",…و مهمان ویژه امروزمون
"yeah, yeah, yeah. - we got this.",باشه. باشه - حله -
you serious?,جدی می‌گی؟
"come along, everyone.",بیاید بچه‌ها
"look, i'm sorry, man.",ببین. ببخشید مرد
i was born to play.,به دنیا اومدم تا بنوازم
"i just wanna get back to my body,",میخوام برگردم توی بدنم
is that your plan?,نقشه ت اینه؟
"so, riley, how was camp?",خب رایلی، اردو چطور بود؟
ugh.,! اخ
"look, you can deflect all you want,",ببین. هر چقدر بخوای میتونی وقت تلف کنی
this car's gonna fly. come on!,این ماشین الان پرواز می‌کنه! زودباشید
you're doing my ears a favour.,یه لطفی به گوش هام کردید
avery is not jovan.,ایوری جوان نیست
so what's it gonna be?,خب چه کنیم؟
okay.,باشه
"and at the right moment, bring us back.",و درست در موقع مناسب برون گردونه
"which is why the gun that i gave you,",برای همین اسلحه‌ای که بهت دادم
"i don't have a choice. - well, i do!",چاره‌ای ندارم- من که دارم-
"surround it with three radars,",…با سه‌تا رادار به سمت گردباد
"make a trade, make a trade, make a trade!",داد و ستد کن، داد و ستد کن، داد و ستد کن
"busts through the cap,",…وارونگی کلاهکی رو بشکونن
third one was getting great data.,سومی داشته داده‌های عالی‌ای می‌داد
"no smell, no taste. - or touch. see?",نه بویی، نه مزه‌ای - یا لامسه‌ای، می‌بینی؟ -
i thought i'd feel different.,فکر می‌کردم حس متفاوتی داره
[ hans ] good morning.,صبح بخیر
get him down. okay.,. بارش پایین -. باشه -
what is she doing?,چی کار می‌کنه؟
'cause she looked so sweet.,چون خیلی نازنین بود
"work your way up to the rough stuff, okay?",بعد برو سراغ کارهای سخت و خشن خب؟
make your way down to bloofy's house!,خودت رو به سرای بلوفی برسونید
"locked up in the desk, right?",توی کشو قفله. نه؟
isaac.,ایزک
hey.,هی
"leigh's got the morning off, so i thought we'd make granola bars like the old days.",لی صبح بیکاره خوب منم فکر کردم میتونیم مثل قدیما با هم دیگه شیرینی گرانول بپذیم
"kate, why don't you set up the table?",کیت، چطوره بری میز رو بچینی؟
i'm afraid she's become a lost soul.,می‌ترسم یه روح گمشده شده باشه
a halitz 18.,هالیتز ۱۸ کنیم
that's just regular old living.,زندگی معمولی قدیمی
i could sound like this if i wanted to.,اگه میخوام میتونم اینجوری حرف بزنم
tearing headquarters apart?,نابود کردن مرکز فرماندهی برداری؟
"yeah, that's chelsea. near jackson square park.",اره، اون چلسی یه کنار پارک میدان جکسون
what did the tornado cowboy have to say?,گاوچرون گردبادها چی گفت؟
tell me what?,چی رو بهم بگی؟
it's just that she knows that there's always room,این صرفا نشده می‌ده که معتقده همیشه
gotcha!,! گرفتمت
i told them everything.,همه چیزو گفتم
the blackwell public library,…کتابخانه عمومی بلک‌ول
okay. how? - we gotta go see dez.,باشه، چطور؟ - «باید بریم پیش» در -
"a frog,",قورباغه
slowing the updraft. - temp is going down.,جریان عمودی داره کم می‌شه - دما داره میاد پایین -
"well, what's wrong with the life you have in the city?",خب زندگی تو توی شهر چه مشکلی داره؟
"bravo, joy. she's totally fitting in now.",افرین شادی، چه خوب باهاشون اخت گرفت
maybe it's time to renovate the old barn.,شاید وقتش باشه طویله قدیمی رو بازسازی کنیم
we'll be outed as the imposter,اون‌وقت دست‌مون رو می‌شه
"hey, guys.",سلام بچه‌ها
so you're gonna pick them off one-by-one.,پس یکی یکی میکشیشون
"quick question. how do we build a new riley,",یه سوال! چطور هویت جدیدی …برای رایلی خلق کنیم، درصورتی که
carl jung already tried that.,«کارل یانگ» هم این کارو امتحان کرد
a friend of louis denton's.,یکی از دوستای لوییس دنتون
i have an idea.,یه ایده‌ای دارم
"my boy, bishop, said he sat in with you on a set last year in brooklyn.",دوستم «بیشاپ» گفت که پارسال باهات توی بروکلین تو یه گروه بود
stick him in a holding cell.,بندازینش توی یه سلول
"newsflash, you did!",محض اطلاع، رسید
whoosh-up little man.,دالی
let us know when you're ready to talk.,وقتی اماده حرف زدن بودی بهمون بگو
no. not entirely clear at the motive either.,نه. انگیزه‌اش هم چندان مشخص نیست
javi!,! خاوری
i see it on her face every time i walk in the room.,من اینو تو صورتش می‌بینم. هربار که به اتاق میرم
indeed.,واقعا همین‌طوره
and you are the least remarkable soul i've ever met.,و تو بدترین روحی هستی که تا الان دیدم
"val and her friends like us now,",وال و دوست‌هاش ازمون خوش‌شون میاد
"blow me, boone. - don't engage, don't engage.",بیا سرشو بخور بون - درگیر نشو، درگیر نشو -
do we have reservations? for what?,ر زرو کردیم؟ برای چی؟
"technically, it's not your tryout for the next year,",اصولا مسابقه‌ی گزینشی سال بدعت نیست
"just leave her alone, okay?",ولش کنین. باشه؟
i was terrified.,بدجور ترسیده بودم
every side is his good side.,همه‌ی جنبه‌هاش خوبن
"like, like the actual moon.",ماه واقعی
scarecrow's taking position.,مترسک می‌ره توی موقعیت
you are such an all-star!,الحق که سوپر استاری
i was worried. i didn't know where you were.,من نگران شدم. نمیدونستم کدوم گوری هستی
robert too?,و همینطور رابرت؟
"oh, that's friendship island.",اوه، اون جزیره دوستیه
no! no! stop!,نه! نه! وایسا!
"please, can somebody pinch me?",می‌شه لطفا یکی نیشگونم بگیره؟
"all right, lily, what are you seeing?",خیلی‌خب لیلی، چی می‌بینی؟
grab a balloon!,یکی از این بالون‌ها رو بگیرید
i mean...,…منظورم
yeah. why?,اره چطور مگه؟
he's... he's thinking.,داره …داره فکر می‌کنه
dorothea williams! can you believe it?,دورسیا ویلیامز باورت میشه؟
"hey, i don't like that shit.",از این کارها خوشم نمیاد
all thanks to my crew.,به لطف افرادم
great time.,خوش گذشت
"tornado won't have to work as hard, benny.",گردباد مجبور نیست خیلی زور بزنه، بنی
and the heroin.,و هرویین
coach is right. riley isn't ready.,. حق با مربیه ریالی اماده نیست
"yeah, of, of course, miss kamen, um,",اره البته خانم کیم
"look boss, people like me.",ببین رییس مردم ازم خوششون میاد
fuck. [ exhales ],. لعنت
phased array radar... par.,«رادار ارایه فازی، یا» پار
you five will be insecure.,شما ۵ تا در امان نخواهید بود
we need more. get more!,. به ایده‌های بیش‌تری نیاز داریم ایده‌ی بیش‌تر بسیار
let's see.,ببینیم
testing the goldilocks principle of a tornado,…داریم اصل گلدیلاکس گردباد رو
no more part-time for you.,دیگه لازم نیست پاره‌وقت کار کنید
"i know. embarrassing, right?",میدونی خجالت اوره، نه؟
we gotta fix this. right now.,باید درستش کنیم همین الان
how much? wait. can i-- hold on.,چقدر؟ …وایسا، میشه؟ - صبر کن
and you guys all start acting like fucking teenagers.,و شما بچه‌ها مثل. نوجوونایه لعنتی رفتار میکنین
"you're finished, anxiety!",کارت تمومه اضطراب
we gotta catch the subway across town. come on.,باید با مترو بریم زودباش
"oh, no, no, no, no. not falling for that again.",اوه، نه، نه، نه، نه دوباره گول نمی‌خورم
what do you see?,چی می‌بینی؟
"yeah, that's a great idea.",اره، ایده‌ی خیلی خوبیه
i- i- i wanted to be prime.,می‌خواستم اصل کاری باشم
i always kiss melba when i see her.,من همیشه وقتی «ملبا» رو می‌بینم میبوسمش
"hi, boys. um-- all right.",. سلام، پسرا امام …. بسیار خب
"michigan, what are you doing?",میشیگانی، چی کار می‌کنی؟
goodbye.,خداحافظ
and-and-and-and smoking.,. و سیگار نمی‌کشی
"tell you what, i'll... i'll get us a couple of drinks.",یه چیزی، می‌رم چندتا نوشیدنی بگیرم
nice suit.,لباس قشنگیه
"how do i make it up to you? - man, you abandoned me.",چطور می‌تونم برات جبران کنم؟ - پسر، تو ولم کردی -
don't play dumb with me.,با من مثل احمقا رفتار نکن
my only purpose on this planet is to play.,تنها هدف من برای بودن رو این سیاره نواختنه
it's mostly jingles and dad's yacht rock.,اکثرا اهنگ‌های تبلیغاتی و اهنگ‌های یات‌راک بابیان
i don't care if you smoke weed with us...,من اهمیتی نمیدم اگه میخوای با ما علف بکشی
let the professional handle this.,کار رو به کاردان بسپارید
stop filming for a second? i need to think.,می‌شه یه‌لحظه فیلم نگیری؟ باید فکر کنم
"extra cheese, baby!",پنیر اضافه جیگر
there it is.,ایناهاش
"now, since you don't have a connection to your body,",…حالا، از وقتی‌که با بدنت ارتباط نداری
and all the data that they send will be received by wizard.,و تمام داده‌هایی که اونا می‌فرستن رو جادوگر دریافت می‌کنه
"that's 105.2 souls per minute, jerry.",هر دقیقه ۱۰۵ ٫ ۲ روح در هر دقیقه اجرای
all right.,خیلی خب
"oh, the tornado wrangler is scared of tornadoes.",اوه، گردبادکش از گردباد می‌ترسه
how?,چطور؟
i invite all the best players in the area.,و تمام بازیکنان این منطقه رو دعوت می‌کنم
your father would be so happy...,پدرت …خیلی خوشحال میشه
what?,چیه؟
"oh, that's so much fun. i'm so glad that i left my car at home.",، اوه، خیلی حال میده خیلی خوشحالم که از خونه زدم بیرون
good luck with that.,موفق باشی
"no matter what, we got to get these barrels in the air",هر طور شده باید این بشکه‌ها رو بفرستیم هوا
"she is scared to death of her life, so she comes running home,",",اون از مرگ زندگیش می‌ترسید,پس دوید به طرف خونه"
"oh, boy. -what are we gonna do?",وای پسر - حالا چی کار کنیم؟ -
"well, it's just leigh never seemed like the kind of person that would be lost.",خوب این فقط لیه که هیچ وقت خودشو گم نمیکنه
move! everybody inside!,! برید! برید داخل
riley still likes the show.,رایلی هنوز هم دوستش داره
meh.,نه
extremely.,به‌شدت
"then he adds the inner voices, and it's like he's...",و بعد صداهای زیر رو اضافه کرد …انگار داشت
"good for you, dr borgensson.",موفق باشی دکتر بورگن
louis's. - you're not about to,پول لوییس - قرار نیست -
make a trade.,داد و ستد کن
22!,! ۲۲
"what are you doing? lily, i need you up here.",داری چی کار می‌کنی؟ - لیلی، این بالا بهت نیاز دارم -
binaca breath spray? cheap cologne?,اسپری تنفسی بیانسه؟ ادکلن ارزون؟
that might work.,شاید جواب بده
[ leigh ] i wanna move back in with you guys.,میخوام برگردم پیش شماها
"all right, all right, guys, let's go.",خیلی‌خب، خیلی‌خب بچه‌ها بریم
"yes, amazing.",اره، عالیه
never mind. just put those pants on.,بی‌خیال فقط اون شلوارو بپوش
i'm just gonna rest here for a minute.,میخوام یه دقیقه اینجا استراحت کنم
"hey, buddy. i'm sorry.",سلام رفیق ببخشید
"sorry, says the guy setting up shop,",ببخشید، به‌عنوان کسی که …یه مغازه باز کرده
"that is all i have, hand to god.",به خدا فقط همینقدر دارم
i know you're in there.,می‌دونم اونجایی
"so much for being done chasing after gigs, huh?",این همه قایم موشک برای یه اجرا؟ ها؟
coach is gonna post the list any minute.,مربی الان‌هاست که لیست رو منتشر کنه
i invited tyler to stay the night in the guest room.,از تایلر خواستم که شب‌رو توی اتاق مهمون بخوابه
how's it privileged?,چطور خاصه؟؟
how about kate sees a few more hours of sleep?,چطور کیت یه چند ساعت بخوابه؟
i mean... we never had a chance.,یعنی …اصلا شانسی نداشتیم
i know. [ groans ],. میدونم
"come on, can leave that here.",یالا بذارش اینجا
oh. we call it the you seminar now. rebranding.,البته الان اسمش سمینار شما هست …به خاطر تجارت و
"i failed body test drive, like, 436 times.",من تست بدن رو ۴۳۶ بار رد شدم
"please, will you listen? you are ready to live, 22.",لطفا، به حرفم گوش میدی؟ تو اماده زندگی کردنی ۲۲
"what do you think, i have everything in here?",فکرکردی همه‌چیز تومه؟
don't you dare say that.,همچین حرفی نزن
'sup? vice principal smith-lentz.,چه خبر؟ «مدیر مدرسه‌ی فاسد» اسمیت لنز
i said what i said 'cause i...,…اون حرف رو زدم چون
"right, because she thinks you're a failure.",درسته، چون اون فکر میکنه تو یه بازنده‌ای
"uh, big buildings, no windows.",ساختمون‌های بزرگ بدون پنجره
but i know how to read people.,ولی بلدم چطور ذهن مردمو بخونم
"kate. wait, wait.",کیت صبر کن، صبر کن
it's not safe here! come on!,! اینجا امن نیست! زودباشید
"well, on earth, of course.",خب، روی زمین قطعا
"does the old lady have, like, a fuckin' shotgun for trespassers?",این خانوم بزرگه واسه خلافکارا تفنگ شکاری داره؟
ain't no other way.,راه دیگه‌ای نیست
that's our way out!,با این می‌تونیم خارج بشویم
come on!,بالا
we're gonna be okay!,! چیزی نمی‌شه
"oh, yeah!",! اوه اره
honestly. how else would french women get pregnant?,خداییش کدوم زن فرانسوی میخواد حامله بشه؟!؟
air feels heavy. this isn't good.,هوا سنگین به‌نظر میاد اوضاع خوب نیست
i told mel we'd pick her up later.,به «مل» گفتم بعدا سوارش می‌کنم
you told me that you would do it...,تو بهم گفتی که این کار رو می‌کنی
excuse me.,ببخشید
it's a pleasure. wow. this is amazing.,باعث افتخارمه باور نکردنی
it's the second time...,…این دومین بار
whoa! i can't believe how good i look.,باورم نمیشه چقدر خوشتیپم
yee-row. - yo-yo.,سی رو - یو یو -
you're brilliant.,واقعا نابغه‌ای
we might as well lie down and give up now.,پس بهتره همین‌جا را بودیم و تسلیم بشویم
new york's great. i like it here.,نیویورک عالیه از اینجا خوشم میاد
"that's right, terry did.",درسته‌تری فهمید
i'm s-- sorry.,من متاسفم
"thank you, uh, mom.",ممنون مامان
"moon, grab the laptop, leave the baby.",مون لپ‌تاپ رو بردار بچه رو ول‌کن
and get to the club early.,و زود بیا کلوپ
"and, you know, they were just--",…و میدونی اونجا فقط
right. no.,. درسته. نه
there's... there's a... there's a kids' park on main.,یه …یه پارک کودکان توی مین هست
"she, uh, talked-",اون …
please calm down.,لطفا اروم باشد
we should go. - oh my god.,باید بریم- خدای من-
or let's play the quiet game!,می‌تونیم هم بازی «سکوت» رو بازی کنیم
"just go into the room real quick, and, obviously...",…توی اتاق و خب مسلما
it's gonna be okay.,چیزی نمی‌شه
hey! [ whistle blows ],هی
did we grow overnight?,یه شبه بزرگ شدیم؟
you came in and we got a urine sample.,تو اومدی و نمونه ادرار گرفتیم
"unless it becomes an earth pass, i'm stuck with it.",متاسفانه تبدیل‌شده به یه اجازه رفتن به زمین من باهاش گیر افتادم
and i think this is the finishing touch.,و فکرکنم این تموم‌کننده‌ش باشه
"yeah! i see you, 87.",‫اره! می‌بینمت ۸۷
the consultant.,مشاور
you got a great friend here.,دوست عالی‌ای اینجا داری
"i'm, i'm really happy for you.",واقعا برای خوشحالم
"uh, i-i...",…اه، من
get the fuck outta here!,گمشو بیرون از اینجا
"hang on. what are you... hey, ben.",…صبر کن، داری چی - سلام بن -
i got to try that out. - will you stop encouraging her?,باید امتحانش کنم - می‌شه انقدر تشویقش نکنی؟ -
"so, uh, what happens next?",…پس بعد چی میشه؟
"oh, yeah, not happening.",عمرا
"those processed foods, am i right?",حاضری ادامه بدی درسته؟
you had him kill jess?,بهش گفتی حس رو بکشه؟
i hope you're doin' okay.,امیدوارم حالتون خوب باشه
"javi, you hear me? - yeah, i can hear you.",خاوری، صدام رو می‌شنوی؟ - اره، می‌شنوم -
give me some cash.,پولش رو بده
does that offer still stand?,این پیشنهاد هنوز سرجاشه؟
whoo-hoo!,! وهوو
you thought you could disrupt a tornado.,فکر می‌کردی می‌تونی گردباد رو مختل کنی
"i mean, it's so much fun.",خیلی حال می‌ده
we'll take it from here.,از اینجا به بعدش با ما
in here!,! اینجا
really?,جدی؟
okay.,خیلی‌خب
no peeking. maintain your meditative state,نگاه نکن حالت تمرکزت رو حفظ کن
we don't know where we're going.,دیگه نمی‌دونیم قراره کجا بریم
been waiting a long time for this.,خیلی وقته منتظر این بودم
"i mean, you could just bill me for it.",میتونی به حسابم بنویسیش
"don't worry, riley. you're in good hands.",. نگران نباش رایلی کنترل دست فرد شایسته‌ای افتاده
"jazz, jazz, more jazz.",جاز، جاز جاز بیشتر
"way to go, michigan. -nice one, michigan.",افرین میشیگان - دستخوش میشیگان -
we're right behind you.,تو بیفتی جلو
everybody copies her. and she is so cool.,. و همه ازش تقلید می‌کنن خیلی دختر باحالیه
your father's chemo ain't cheap.,جلسات شیمی‌درمانی بابات ارزون نیست
way to go!,! دمت گرم
"next week. well, that's just not gonna happen, man.",هفته‌ی دیگه خوب این اتفاق نمیفته مرد
hey.,سلام
"i'm so sorry, justine. i forgot. shoot.",جاستین «واقعا متاسفم» یادم رفت. لعنت
i'm not good enough.,من ناکافی‌ام
remember the lying? -are we gonna,دروغ گفتن رو یادته؟ - قضیه شاهین‌های اتشین رو -
look for siloam road.,دنبال جاده سایلوم بگردید
"oh, yeah, right. i'm just being free. i'm--",". اوه,اره,درست - …من فقط ازاد میشم. من -"
do you have a basement?,زیرزمین دارید؟
let's see how the model responds.,بذار ببینیم چی می‌شه
"stretch those hammies, anger. let's go.",. بدو بریم خشک بزنید بریم
and we're gonna deliver it in the vortex... don't touch that.,می‌فرستیم توی تاوه …بهش دست نزن
can i talk to you for a second?,میشه یه لحظه باهات صحبت کنم؟
"no, boring is not usually a problem for me, kate.",نه، کسل‌کننده معمولا برای من مشکلی نیست کیت
mom. i'm calling peta.,«مامان، زنگ می‌زنم به» پیتا (سازمان حمایت از حیوانات)
"all right, we're gonna shoot the clouds",خیلی‌خب، می‌خوایم به ابرها شلیک کنیم
"so, why didn't you do that?",پس چرا نشدی؟
to the moment i fall asleep at night.,تا وقتی‌که می‌خوابم
do i look orange? -i didn't touch it.,من نارنجی شدم؟ - من که بهش دست نزدم -
"oh, he slipped a leg. that'll be a plus five.",اوه، یه پاش رو نتوانست بگیره پنج ثانیه جریمه می‌شه
i'm an agreeable sceptic who's cautious yet flamboyant.,من یه بدبین ملایمم که محتاطم و در عین حال پرهیجان
"did you, uh... did you study meteorology at the u of a?",توی دانشگاه اریزونا هواشناسی خوندید؟
"you got to see this, guys!",! باید این رو ببینید بچه‌ها
hey! who let you out? get back in there!,هی! کی شما رو ازاد کرد؟ برگردید داخل ببینم
let's play some hockey!,بیاید هاکی بازی کنیم
increasing the cold pool.,و توده هوای سرد رو افزایش می‌دیم
"[ sighs ] oh, my god.",". اوه,خدای من"
"fear, what is the matter with you?",ترس، چه مرگت شده؟
i already told you i loved him.,بهت گفتم که عاشقش بودم
i tried reaching out to you a few times.,چند باری سعی کردم باهات تماس بگیرم
but we can make everything easier.,ولی ما می‌تونیم همه‌چیز رو اسون‌تر کنیم
"yes! go, go, go!",ایول! برو، برو
"that caused that tornado to vanish, and that's fine, too.",باعث ناپدید شدن گردباد شد و هیچ مشکلی نداره
"and they weren't treating it right,",و باهاش رفتار درست نداشت
his fucking parrot.,حتی طوطی کوفتیش
"door-to-door service, just like i promised.",همون‌طور که قول دادم همون‌جایی که سوارت کردم، پیاده‌ات می‌کنم
"well, you should probably get going to the great beyond.",خب احتمالا شما باید بری به ان‌سوی بزرگ
what are you talkin' about?,درمورد چی حرف می‌زنی؟
"we'll worry about it later. - ""forget the data""? what is...",بعدا درستش می‌کنیم - …بی‌خیال داده‌ها بشم؟ این دیگه -
it's gonna be okay.,چیزی نمی‌شه
i thought i was being proactive.,فکر کردم دارم اوضاع رو تحت کنترل درمیارم
the half note.,هف نوت
"uh, this is actually my first time working.",راستش این دفعه اول کارمه
he wouldn't have wanted you to hurt someone.,اون ازت نمی‌خواست به کسی اسیب بزنی
don't worry about sully.,نگران سالی نباش
